S_ID	S_Age	S_Extrav	S_Lang1	S_Linguist	S_Gender	Q_ID	Setting	Familiarity	H_Age	Form
1	30	7	est	No	M	5	informal	No	Older	V
1	30	7	est	No	M	6	informal	No	Same	V
1	30	7	est	No	M	7	informal	No	Younger	T
1	30	7	est	No	M	8	formal	No	Older	V
1	30	7	est	No	M	9	formal	No	Same	V
1	30	7	est	No	M	10	formal	No	Younger	V
1	30	7	est	No	M	11	informal	Some	Older	V
1	30	7	est	No	M	12	informal	Some	Same	V
1	30	7	est	No	M	13	informal	Some	Younger	V
1	30	7	est	No	M	14	formal	Some	Older	T
1	30	7	est	No	M	15	formal	Some	Same	T
1	30	7	est	No	M	16	formal	Some	Younger	T
1	30	7	est	No	M	17	informal	Good	Older	T
1	30	7	est	No	M	18	informal	Good	Same	T
1	30	7	est	No	M	19	informal	Good	Younger	T
1	30	7	est	No	M	20	formal	Good	Older	T
1	30	7	est	No	M	21	formal	Good	Same	T
1	30	7	est	No	M	22	formal	Good	Younger	T
2	27	4.2	rus	No	F	5	informal	No	Older	V
2	27	4.2	rus	No	F	6	informal	No	Same	V
2	27	4.2	rus	No	F	7	informal	No	Younger	V
2	27	4.2	rus	No	F	8	formal	No	Older	V
2	27	4.2	rus	No	F	9	formal	No	Same	V
2	27	4.2	rus	No	F	10	formal	No	Younger	V
2	27	4.2	rus	No	F	11	informal	Some	Older	V
2	27	4.2	rus	No	F	12	informal	Some	Same	V
2	27	4.2	rus	No	F	13	informal	Some	Younger	T
2	27	4.2	rus	No	F	14	formal	Some	Older	V
2	27	4.2	rus	No	F	15	formal	Some	Same	T
2	27	4.2	rus	No	F	16	formal	Some	Younger	T
2	27	4.2	rus	No	F	17	informal	Good	Older	V
2	27	4.2	rus	No	F	18	informal	Good	Same	V
2	27	4.2	rus	No	F	19	informal	Good	Younger	V
2	27	4.2	rus	No	F	20	formal	Good	Older	V
2	27	4.2	rus	No	F	21	formal	Good	Same	V
2	27	4.2	rus	No	F	22	formal	Good	Younger	T
3	27	7.6	est	Yes	F	5	informal	No	Older	T
3	27	7.6	est	Yes	F	6	informal	No	Same	T
3	27	7.6	est	Yes	F	7	informal	No	Younger	T
3	27	7.6	est	Yes	F	8	formal	No	Older	T
3	27	7.6	est	Yes	F	9	formal	No	Same	T
3	27	7.6	est	Yes	F	10	formal	No	Younger	T
3	27	7.6	est	Yes	F	11	informal	Some	Older	T
3	27	7.6	est	Yes	F	12	informal	Some	Same	T
3	27	7.6	est	Yes	F	13	informal	Some	Younger	T
3	27	7.6	est	Yes	F	14	formal	Some	Older	T
3	27	7.6	est	Yes	F	15	formal	Some	Same	T
3	27	7.6	est	Yes	F	16	formal	Some	Younger	T
3	27	7.6	est	Yes	F	17	informal	Good	Older	T
3	27	7.6	est	Yes	F	18	informal	Good	Same	T
3	27	7.6	est	Yes	F	19	informal	Good	Younger	T
3	27	7.6	est	Yes	F	20	formal	Good	Older	T
3	27	7.6	est	Yes	F	21	formal	Good	Same	T
3	27	7.6	est	Yes	F	22	formal	Good	Younger	T
4	62	6.4	est	Yes	F	5	informal	No	Older	V
4	62	6.4	est	Yes	F	6	informal	No	Same	V
4	62	6.4	est	Yes	F	7	informal	No	Younger	V
4	62	6.4	est	Yes	F	8	formal	No	Older	V
4	62	6.4	est	Yes	F	9	formal	No	Same	V
4	62	6.4	est	Yes	F	10	formal	No	Younger	V
4	62	6.4	est	Yes	F	11	informal	Some	Older	V
4	62	6.4	est	Yes	F	12	informal	Some	Same	V
4	62	6.4	est	Yes	F	13	informal	Some	Younger	V
4	62	6.4	est	Yes	F	14	formal	Some	Older	V
4	62	6.4	est	Yes	F	15	formal	Some	Same	V
4	62	6.4	est	Yes	F	16	formal	Some	Younger	V
4	62	6.4	est	Yes	F	17	informal	Good	Older	NA
4	62	6.4	est	Yes	F	18	informal	Good	Same	NA
4	62	6.4	est	Yes	F	19	informal	Good	Younger	NA
4	62	6.4	est	Yes	F	20	formal	Good	Older	NA
4	62	6.4	est	Yes	F	21	formal	Good	Same	NA
4	62	6.4	est	Yes	F	22	formal	Good	Younger	NA
5	32	5.8	ita	No	M	5	informal	No	Older	V
5	32	5.8	ita	No	M	6	informal	No	Same	T
5	32	5.8	ita	No	M	7	informal	No	Younger	T
5	32	5.8	ita	No	M	8	formal	No	Older	V
5	32	5.8	ita	No	M	9	formal	No	Same	V
5	32	5.8	ita	No	M	10	formal	No	Younger	V
5	32	5.8	ita	No	M	11	informal	Some	Older	V
5	32	5.8	ita	No	M	12	informal	Some	Same	T
5	32	5.8	ita	No	M	13	informal	Some	Younger	T
5	32	5.8	ita	No	M	14	formal	Some	Older	T
5	32	5.8	ita	No	M	15	formal	Some	Same	T
5	32	5.8	ita	No	M	16	formal	Some	Younger	T
5	32	5.8	ita	No	M	17	informal	Good	Older	T
5	32	5.8	ita	No	M	18	informal	Good	Same	T
5	32	5.8	ita	No	M	19	informal	Good	Younger	T
5	32	5.8	ita	No	M	20	formal	Good	Older	T
5	32	5.8	ita	No	M	21	formal	Good	Same	T
5	32	5.8	ita	No	M	22	formal	Good	Younger	T
6	42	7	est	No	M	5	informal	No	Older	V
6	42	7	est	No	M	6	informal	No	Same	V
6	42	7	est	No	M	7	informal	No	Younger	V
6	42	7	est	No	M	8	formal	No	Older	V
6	42	7	est	No	M	9	formal	No	Same	V
6	42	7	est	No	M	10	formal	No	Younger	V
6	42	7	est	No	M	11	informal	Some	Older	V
6	42	7	est	No	M	12	informal	Some	Same	V
6	42	7	est	No	M	13	informal	Some	Younger	V
6	42	7	est	No	M	14	formal	Some	Older	V
6	42	7	est	No	M	15	formal	Some	Same	V
6	42	7	est	No	M	16	formal	Some	Younger	V
6	42	7	est	No	M	17	informal	Good	Older	T
6	42	7	est	No	M	18	informal	Good	Same	T
6	42	7	est	No	M	19	informal	Good	Younger	T
6	42	7	est	No	M	20	formal	Good	Older	T
6	42	7	est	No	M	21	formal	Good	Same	T
6	42	7	est	No	M	22	formal	Good	Younger	T
7	28	5	est	No	F	5	informal	No	Older	V
7	28	5	est	No	F	6	informal	No	Same	V
7	28	5	est	No	F	7	informal	No	Younger	T
7	28	5	est	No	F	8	formal	No	Older	V
7	28	5	est	No	F	9	formal	No	Same	V
7	28	5	est	No	F	10	formal	No	Younger	V
